publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title
MENA Journal of Cross-Cultural Management		2398-3183	2020-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=mjccm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International Journal of Responsible Management in Emerging Economies		2513-8626	2020-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijrmee	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International Journal of Family Business and Regional Development		2054-6599	2020-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijfbrd	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of blockchains and cryptocurrencies		2516-6433	2019-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijbc	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of governance and financial intermediation		2399-5033	2018-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijgfi	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Ltd								P				
International journal of comparative management		2514-412X	2018-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijcm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Ltd								P				
International journal of research, innovation and commercialisation		2051-994X	2017-01-01	1	1				http://www.inderscience.com/ijric	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Publishers								P				
International journal of bibliometrics in business and management		2057-0546	2017-01-01	1	1				http://www.inderscience.com/ijbbm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Publishers								P				
International journal of corporate strategy and social responsibility		2054-8087	2016-01-01	1	1				http://www.inderscience.com/ijcssr	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Publishers								P				
International journal of export marketing		2059-0903	2016-01-01	1	1				http://www.inderscience.com/ijexportm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Publishers								P				
International journal of multinational corporation strategy		2059-1055	2016-01-01	1	1				http://www.inderscience.com/ijmcs	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Publishers								P				
International journal of competitiveness		2056-9440	2016-01-01	1	1				http://www.inderscience.com/ijc	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Publishers								P				
International journal of financial innovation in banking		2055-6799	2016-01-01	1	1				http://www.inderscience.com/ijfib	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Publishers								P				
EuroMed journal of management		2055-1711	2015-01-01	1	1				http://www.inderscience.com/jhome.php?jcode=emjm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of supply chain and inventory management		2054-1007	2015-01-01	1	1				http://www.inderscience.com/jhome.php?jcode=ijscim	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of markets and business systems		2056-4120	2015-01-01	1					http://www.inderscience.com/ijmabs	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of Islamic marketing and branding		2055-0952	2015-01-01	1					http://www.inderscience.com/ijimb	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International Journal of Hospitality and Event Management		2050-0491	2014-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijhem	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
Latin American journal of management for sustainable development		2052-0344	2014-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=lajmsd	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of qualitative research in services		2051-0519	2013-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijqrs	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
