identifier.ppn	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title	zdb
846230380	Business and human rights journal		2057-0201	2016-01-01	1	1				http://www.cambridge.org/core/product/identifier/BHJ/type/JOURNAL	https://www.cambridge.org/core/	Cambridge Core				fulltext		Cambridge University Press	Serial								P					2844707-4
815913109	Journal of demographic economics		2054-0906	2015-01-01	81					https://www.cambridge.org/core/journals/journal-of-demographic-economics	https://www.cambridge.org/core/	Cambridge Core				fulltext		Cambridge Univ. Press	Serial								P					2806482-3
635603101	Journal of benefit-cost analysis		2152-2812	2010-01-01	1					https://www.cambridge.org/core/journals/journal-of-benefit-cost-analysis	https://www.cambridge.org/core/	Cambridge Core				fulltext		Cambridge Univ. Press	Serial								P					2573466-0
61117717X	Journal of wine economics		1931-437X	2006-01-01	1					http://www.cambridge.org/core/product/identifier/JWE/type/JOURNAL	https://www.cambridge.org/core/	Cambridge Core				fulltext		Cambridge Univ. Press	Serial								P					2520994-2
561320527	Annals of actuarial science		1748-5002	2006-01-01						http://www.cambridge.org/core/product/identifier/AAS/type/JOURNAL	https://www.cambridge.org/core/	Cambridge Core				fulltext		Cambridge Univ. Press	Serial								P					2418917-0
505234475	Health economics, policy and law		1744-134X	2006-01-01	1					http://www.cambridge.org/core/product/identifier/HEP/type/JOURNAL	https://www.cambridge.org/core/	Cambridge Core				fulltext		Cambridge Univ. Press	Serial								P					2214936-3
499546733	Journal of institutional economics		1744-1382	2005-01-01	1					https://www.cambridge.org/core/journals/journal-of-institutional-economics	https://www.cambridge.org/core/	Cambridge Core				fulltext		Cambridge Univ. Press	Serial								P					2202053-6
348587147	World trade review		1475-3138	2002-01-01	1					http://www.cambridge.org/core/product/identifier/WTR/type/JOURNAL	https://www.cambridge.org/core/	Cambridge Core				fulltext		Cambridge Univ. Press	Serial								P					2079710-2
348587112	Journal of pension economics and finance		1475-3022	2002-01-01	1					http://www.cambridge.org/core/product/identifier/PEF/type/JOURNAL	https://www.cambridge.org/core/	Cambridge Core				fulltext		Cambridge Univ. Press	Serial								P					2079705-9
341911348	Latin American politics and society		1548-2456	2001-01-01	43					https://www.cambridge.org/core/journals/latin-american-politics-and-society	https://www.cambridge.org/core/	Cambridge Core				fulltext		Cambridge University Press	Serial								P					2070918-3
