publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title	zdb
Entrepreneurship and talent management from a global perspective : global returnees /		9781783479139 (e-book)							https://www.elgaronline.com/view/9781783479122.xml|https://doi.org/10.4337/9781783479139				eep9781783479139		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Complexity and crisis in the financial system : critical perspectives on the evolution of American and British banking /		9781783471331 (e-book)							https://www.elgaronline.com/view/9781783471324.xml|https://doi.org/10.4337/9781783471331				eep9781783471331		fulltext		Edward Elgar Pub. Ltd.,	Monograph		2016						P					
Perspectives on contemporary professional work : challenges and experiences /		9781783475582 (e-book)							https://www.elgaronline.com/view/9781783475575.xml|https://doi.org/10.4337/9781783475582				eep9781783475582		fulltext		Edward Elgar Pub. Ltd.,	Monograph		2016						P					
Business innovation and disruption in the music industry		9781783478156 (e-book)							https://www.elgaronline.com/view/9781783478149.xml|https://doi.org/10.4337/9781783478156				eep9781783478156		fulltext		Edward Elgar Pub. Ltd.,	Monograph		2016						P					
Encyclopedia of human resource management		9781783475469 (e-book)							https://www.elgaronline.com/view/nlm-book/9781783475452/9781783475452.xml|https://doi.org/10.4337/9781783475469				eep9781783475469		fulltext		Edward Elgar Pub. Ltd.,	Monograph		2016						P					
Entrepreneurship as organizing : selected papers of William B. Gartner /		9781783476947 (e-book)							https://www.elgaronline.com/view/9781783471140.xml|https://doi.org/10.4337/9781783476947			Gartner, William B.	eep9781783476947		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Academic entrepreneurship : translating discoveries to the marketplace /		9781785363443 (e-book)							https://www.elgaronline.com/view/9781785363436.xml|https://doi.org/10.4337/9781785363443			Phan, Phillip Hin Choi,	eep9781785363443		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Emerging dynamis of sustainability in multinational enterprises		9781784718534 (e-book)							https://www.elgaronline.com/view/9781784718527.xml|https://doi.org/10.4337/9781784718534				eep9781784718534		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Evolution of family business : continuity and change in Latin America and Spain /		9781785363153 (e-book)							https://www.elgaronline.com/view/9781785363146.xml|https://doi.org/10.4337/9781785363153				eep9781785363153		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook of organizational politics : looking back and to the future /		9781784713492 (e-book)							https://www.elgaronline.com/view/9781784713270.xml|https://doi.org/10.4337/9781784713492				eep9781784713492		fulltext		Edward Elgar Pub.,	Monograph		2016		2nd edition.				P					
Authoritarian capitalism in the age of globalization		9781784713157 (e-book)							https://www.elgaronline.com/view/9781784713133.xml|https://doi.org/10.4337/9781784713157			Bloom, Peter.	eep9781784713157		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Capitalizing on creativity at work : fostering the implementation of creative ideas in organizations /		9781783476503 (e-book)							https://www.elgaronline.com/view/9781783476497.xml|https://doi.org/10.4337/9781783476503				eep9781783476503		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook of measures for international entrepreneurship research : multi-item scales crossing disciplines and contexts /		9781784711405 (e-book)							https://www.elgaronline.com/view/nlm-book/9781784711399/9781784711399.xml|https://doi.org/10.4337/9781784711405				eep9781784711405		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook of contemporary research on emerging markets		9781782546368 (e-book)							https://www.elgaronline.com/view/9781782546351.xml|https://doi.org/10.4337/9781782546368				eep9781782546368		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
The evolution of the world economy : the 'flying-geese' theory of multinational corporations and structural transformation /		9781781003312 (e-book)							https://www.elgaronline.com/view/9781781003305.xml|https://doi.org/10.4337/9781781003312			Ozawa, Terutomo.	eep9781781003312		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Research handbook on employee turnover		9781784711153 (e-book)							https://www.elgaronline.com/view/9781784711146.xml|https://doi.org/10.4337/9781784711153				eep9781784711153		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Coaching for women entrepreneurs		9781783475117 (e-book)							https://www.elgaronline.com/view/9781783475100.xml|https://doi.org/10.4337/9781783475117			Hunt, Carianne M.	eep9781783475117		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Routines, strategies and management : engaging for recurrent creation 'at the edge' /		9781785366314 (e-book)							https://www.elgaronline.com/view/9781785366307.xml|https://doi.org/10.4337/9781785366314			Grand, Simon.	eep9781785366314		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Entrepreneurship and the shadow economy		9781784719883 (e-book)							https://www.elgaronline.com/view/9781784719876.xml|https://doi.org/10.4337/9781784719883				eep9781784719883		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Trust, organizations and social interaction : studying trust as process within and between organizations /		9781783476206 (e-book)							https://www.elgaronline.com/view/9781783476190.xml|https://doi.org/10.4337/9781783476206				eep9781783476206		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Handbook on corporate governance in financial institutions		9781784711795 (e-book)							https://www.elgaronline.com/view/9781784711788.xml|https://doi.org/10.4337/9781784711795				eep9781784711795		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
The market oriented university : transforming higher education /		9781781004920 (e-book)							https://www.elgaronline.com/view/9781781004913.xml|https://doi.org/10.4337/9781781004920			Davis, John,	eep9781781004920		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
The changing global economy and its impact on international entrepreneurship		9781783479849 (e-book)							https://www.elgaronline.com/view/9781783479832.xml|https://doi.org/10.4337/9781783479849				eep9781783479849		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Thinking differently about leadership : a critical history of leadership studies /		9781784716790 (e-book)							https://www.elgaronline.com/view/9781784716783.xml|https://doi.org/10.4337/9781784716790			Wilson, Suze.	eep9781784716790		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Rethinking corporate governance : the forming of operative and financial strategies in global corporations /		9781781951439 (e-book)							https://www.elgaronline.com/view/9781781951422.xml|https://doi.org/10.4337/9781781951439			"Sjöstrand, Sven-Erik,"	eep9781781951439		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
How to get published in the best management journals		9781784714680 (e-book)							https://www.elgaronline.com/view/9781784714673.xml|https://doi.org/10.4337/9781784714680				eep9781784714680		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Emerging Asian economies and MNCs strategies		9781785364068 (e-book)							https://www.elgaronline.com/view/9781785364051.xml|https://doi.org/10.4337/9781785364068				eep9781785364068		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Entrepreneurship, innovation and regional development		9781785365553 (e-book)							https://www.elgaronline.com/view/9781785365546.xml|https://doi.org/10.4337/9781785365553				eep9781785365553		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Institutional case studies on necessity entrepreneurship		9781783472338 (e-book)							https://www.elgaronline.com/view/9781783472321.xml|https://doi.org/10.4337/9781783472338				eep9781783472338		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
