identifier.ppn	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title	zdb
068794495	Liberal solidarity : the political economy of social democratic liberalism		978-1-80088-217-1							https://www.elgaronline.com/view/9781800882164.xml|https://doi.org/10.4337/9781800882171			Hodgson			fulltext		Edward Elgar Publishing	Monograph		2021						P					
068794487	Comparing fairness : relative criteria of economic fairness with applications		978-1-83910-802-0							https://www.elgaronline.com/view/9781839108013.xml|https://doi.org/10.4337/9781839108020			McCain			fulltext		Edward Elgar Publishing	Monograph		2021						P					
068794479	Rethinking public private partnerships		978-1-78990-640-0							https://www.elgaronline.com/view/9781789906394.xml|https://doi.org/10.4337/9781789906400			Lewis			fulltext		Edward Elgar Publishing	Monograph		2021						P					
068794460	Water markets : a global assessment		978-1-78897-693-0							https://www.elgaronline.com/view/edcoll/9781788976923/9781788976923.xml|https://doi.org/10.4337/9781788976930						fulltext		Edward Elgar Publishing	Monograph		2021			Wheeler			P					
068794452	A modern guide to philosophy of economics		978-1-78897-446-2							https://www.elgaronline.com/view/edcoll/9781788974455/9781788974455.xml|https://doi.org/10.4337/9781788974462						fulltext		Edward Elgar Publishing	Monograph		2021			Kincaid			P					
068794444	Management perspectives on the Covid-19 crisis : lessons from New Zealand		978-1-80088-209-6							https://www.elgaronline.com/view/edcoll/9781800882089/9781800882089.xml|https://doi.org/10.4337/9781800882096						fulltext		Edward Elgar Publishing	Monograph		2021			Husted			P					
068794436	Games, simulations and playful learning in business education		978-1-80037-270-2							https://www.elgaronline.com/view/edcoll/9781800372696/9781800372696.xml|https://doi.org/10.4337/9781800372702						fulltext		Edward Elgar Publishing	Monograph		2021			Elliott			P					
068794428	Technology and innovation policy : an international perspective		978-1-78990-289-1							https://www.elgaronline.com/view/9781789902884.xml|https://doi.org/10.4337/9781789902891			Cunningham			fulltext		Edward Elgar Publishing	Monograph		2021						P					
068012241	A research  agenda for experimental economics		978-1-78990-985-2							https://www.elgaronline.com/view/edcoll/9781789909845/9781789909845.xml|https://doi.org/10.4337/9781789909852						fulltext		Edward Elgar Publishing	Monograph		2021			Chaudhuri			P					
068012233	Capital movements and corporate dominance in Latin America : reduced growth and increased instability		978-1-80037-214-6							https://www.elgaronline.com/view/edcoll/9781800372139/9781800372139.xml|https://doi.org/10.4337/9781800372146						fulltext		Edward Elgar Publishing	Monograph		2021			Levy Orlik			P					
