publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title	zdb
African journal of employee relations		2520-3223	2018-01-01	42					https://journals.co.za/content/journal/labour1	https://journals.co.za/	Sabinet				fulltext		Unisa Press								P					2974137-3
Journal of African political economy and development		2518-847x	2016-01-01	1	1				https://journals.co.za/content/journal/japed	https://journals.co.za/	Sabinet				fulltext		The African Finance & Economics Consult								P					2942034-9
Africa country benchmark report			2016-01-01						https://journals.co.za/content/journal/acbr	https://journals.co.za/	Sabinet				fulltext		In On Africa								P					2922510-3
Ghanaian journal of economics			2013-01-01	1					http://www.journals.co.za/content/journal/ghajecon	https://journals.co.za/	Sabinet				fulltext										P					2837757-6
Africagrowth agenda			2007-01-01						http://reference.sabinet.co.za/sa_epublication/afgrow	https://journals.co.za/	Sabinet				fulltext		Africagrowth Institute								P					2852145-6
Journal of Contemporary Management		1815-7440	2004-01-01	1	1				https://journals.co.za/content/journal/jcman	https://journals.co.za/	Sabinet				fulltext										P					2982373-0
African finance journal			1999-01-01	1	1				http://journals.co.za/content/journal/finj	https://journals.co.za/	Sabinet				fulltext		Africagrowth Institute								P					2852153-5
Southern African journal of accountability and auditing research		1028-9011	1998-01-01	1					http://www.journals.co.za/ej/ejour_sajaar.html	http://reference.sabinet.co.za/sa_epublication/sajaar	Sabinet				fulltext		SAIGA								P					2260017-6
Africanus		0304-615X	1971-01-01	1	1				http://journals.co.za/content/journal/canus_v46_n1_2016	https://journals.co.za/	Sabinet				fulltext		UNISA								P					2121129-2
South African statistical journal			1967-01-01	1					https://journals.co.za/content/journal/sasj/browse?	https://journals.co.za/	Sabinet				fulltext		Assoc.								P					2743644-5
